#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance edge major)	
300	0.557741053457236	300	0.348713962549832	300	0.616711259656955	300	0.277199589566135	
305	0.581507567483526	305	0.218914373405293	305	0.599965282776952	305	0.293995039657354	
310	0.562806119830777	310	0.285203092121038	310	0.548221487130516	310	0.255383410034623	
315	0.554005394382372	315	0.203582538289038	315	0.58975375278997	315	0.289401901079238	
320	0.562123474932994	320	0.272124329811321	320	0.559201244119321	320	0.261298332597268	
325	0.595994143183446	325	0.311185715869642	325	0.614920533255685	325	0.311968837675728	
330	0.561871885499288	330	0.246740038846055	330	0.613439829266035	330	0.279291563080327	
335	0.578388168762165	335	0.25541826378538	335	0.630426912203381	335	0.271115699600384	
340	0.553826060287069	340	0.137849931103365	340	0.538757949896455	340	0.254580444744909	
345	0.453971409870557	345	0.101614291377839	345	0.463122372151661	345	0.115014170954171	
350	0.399070561932813	350	0.00984615961498572	350	0.46746973316154	350	0.0287552358806249	
355	0.431190268452989	355	0.0287706158811478	355	0.426858398385725	355	0.0170486206466662	
360	0.430901490221733	360	0.0212606982444073	360	0.430707385624692	360	0.0205689039581451	
365	0.429443302260939	365	0.0153877848906631	365	0.431536711150923	365	0.0156434057477877	
370	0.433139276128678	370	0.0154462530473629	370	0.425643186556616	370	0.0151989418122322	
375	0.428474544499185	375	0.0117756948051841	375	0.424607078341904	375	0.0140898237404375	
380	0.424093808053316	380	0.0095817690429773	380	0.420484656819526	380	0.00890045527873916	
385	0.422298787367946	385	0.00800882320137172	385	0.416424124712312	385	0.00851652447349394	
390	0.417622350639812	390	0.00754783498984823	390	0.410729609211461	390	0.00758424415347647	
395	0.413859677743183	395	0.00695159967027527	395	0.405283794967266	395	0.00673720629329141	
400	0.412275810447539	400	0.00614736205809865	400	0.406299516323364	400	0.00681322114769237	
405	0.406930380434262	405	0.00612622046913466	405	0.403906041444076	405	0.00570151886011809	
410	0.39768019789721	410	0.00540269218721779	410	0.397826023028686	410	0.00583443412295572	
415	0.386408705211131	415	0.00532157727154735	415	0.38864156022655	415	0.00561760709470037	
420	0.37537823837192	420	0.00576486762454805	420	0.377351847126291	420	0.00542840709349355	
425	0.366636977260577	425	0.00517874651903006	425	0.36827822263688	425	0.00512742057224163	
430	0.361289579138956	430	0.0052675975307008	430	0.360758955168275	430	0.00531481402792158	
435	0.358902909947163	435	0.00514913933116939	435	0.354817966039748	435	0.00523589913546428	
440	0.358070312056643	440	0.0050886560765047	440	0.352943786794671	440	0.00543976139346894	
445	0.359433347340347	445	0.00565414652251176	445	0.355400165881238	445	0.00552006417366862	
450	0.362592394379261	450	0.00604075410139151	450	0.357625370759168	450	0.00602661591515304	
455	0.368962931656476	455	0.00835733202778282	455	0.359383041531628	455	0.00687019630573114	
460	0.366701014528283	460	0.00742142007118817	460	0.361615508917355	460	0.00960108525588414	
465	0.368127880691789	465	0.00923508997300706	465	0.357112182241497	465	0.00766264013977181	
470	0.364966435479061	470	0.0110207423410449	470	0.365589241935121	470	0.0111363511276387	
475	0.362100925102306	475	0.0120263750953261	475	0.371998112890072	475	0.013743611037517	
480	0.37098637117083	480	0.0122064251115531	480	0.367664588255903	480	0.0109572282329658	
485	0.366789967468302	485	0.0135667614015631	485	0.359718650957118	485	0.0172403341612535	
490	0.362280877535071	490	0.0150587012922382	490	0.347935027045037	490	0.0146807508612304	
495	0.35312619776675	495	0.0184577960655557	495	0.34055441918673	495	0.0190251629480924	
500	0.338522545905619	500	0.0187271832637094	500	0.343398413812037	500	0.0223663538122425	
505	0.333758353395273	505	0.0214145318554144	505	0.349586856693986	505	0.0206303836909522	
