Wvlgth nm,Global tilt  W*m-2*nm-1
280.0,4.73090E-23
280.5,1.23070E-21
281.0,5.68950E-21
281.5,1.56620E-19
282.0,1.19460E-18
282.5,4.54360E-18
283.0,1.84520E-17
283.5,3.53600E-17
284.0,7.26700E-16
284.5,2.48560E-15
285.0,8.01420E-15
285.5,4.26130E-14
286.0,1.36840E-13
286.5,8.38230E-13
287.0,2.73670E-12
287.5,1.09030E-11
288.0,6.23370E-11
288.5,1.71620E-10
289.0,5.62650E-10
289.5,2.07490E-09
290.0,6.01680E-09
290.5,1.37830E-08
291.0,3.50520E-08
291.5,1.09130E-07
292.0,2.68300E-07
292.5,4.26850E-07
293.0,8.64660E-07
293.5,2.27070E-06
294.0,4.17440E-06
294.5,6.59110E-06
295.0,1.22900E-05
295.5,2.78260E-05
296.0,4.79040E-05
296.5,7.13450E-05
297.0,9.68000E-05
297.5,1.86080E-04
298.0,2.89880E-04
298.5,3.57890E-04
299.0,4.92110E-04
299.5,8.60680E-04
300.0,1.02050E-03
300.5,1.24500E-03
301.0,1.93000E-03
301.5,2.69140E-03
302.0,2.92090E-03
302.5,4.28400E-03
303.0,7.09450E-03
303.5,8.97950E-03
304.0,9.47010E-03
304.5,1.19530E-02
305.0,1.64630E-02
305.5,1.87190E-02
306.0,1.85770E-02
306.5,2.11080E-02
307.0,2.78490E-02
307.5,3.56350E-02
308.0,3.78370E-02
308.5,4.14300E-02
309.0,4.05340E-02
309.5,4.33060E-02
310.0,5.09390E-02
310.5,6.55400E-02
311.0,8.29220E-02
311.5,8.40800E-02
312.0,9.33760E-02
312.5,9.89840E-02
313.0,1.07330E-01
313.5,1.07570E-01
314.0,1.19690E-01
314.5,1.30600E-01
315.0,1.36250E-01
315.5,1.18380E-01
316.0,1.23480E-01
316.5,1.50360E-01
317.0,1.71580E-01
317.5,1.82450E-01
318.0,1.75940E-01
318.5,1.85910E-01
319.0,2.04700E-01
319.5,1.95890E-01
320.0,2.05270E-01
320.5,2.45250E-01
321.0,2.50240E-01
321.5,2.38430E-01
322.0,2.22030E-01
322.5,2.17090E-01
323.0,2.12260E-01
323.5,2.48610E-01
324.0,2.75370E-01
324.5,2.83210E-01
325.0,2.78940E-01
325.5,3.24360E-01
326.0,3.81200E-01
326.5,4.07220E-01
327.0,3.98060E-01
327.5,3.84650E-01
328.0,3.51160E-01
328.5,3.71640E-01
329.0,4.22350E-01
329.5,4.68780E-01
330.0,4.71390E-01
330.5,4.28000E-01
331.0,4.02620E-01
331.5,4.18060E-01
332.0,4.36230E-01
332.5,4.39190E-01
333.0,4.29440E-01
333.5,4.07240E-01
334.0,4.14970E-01
334.5,4.45090E-01
335.0,4.63880E-01
335.5,4.53130E-01
336.0,4.15190E-01
336.5,3.82140E-01
337.0,3.73800E-01
337.5,4.00510E-01
338.0,4.34110E-01
338.5,4.55270E-01
339.0,4.63550E-01
339.5,4.74460E-01
340.0,5.01800E-01
340.5,5.00710E-01
341.0,4.71390E-01
341.5,4.69350E-01
342.0,4.89340E-01
342.5,5.07670E-01
343.0,5.14890E-01
343.5,4.86090E-01
344.0,4.18430E-01
344.5,4.03070E-01
345.0,4.58980E-01
345.5,4.89320E-01
346.0,4.77780E-01
346.5,4.86570E-01
347.0,4.94040E-01
347.5,4.76740E-01
348.0,4.75110E-01
348.5,4.83360E-01
349.0,4.65640E-01
349.5,4.78050E-01
350.0,5.27980E-01
350.5,5.67410E-01
351.0,5.51720E-01
351.5,5.30220E-01
352.0,5.17910E-01
352.5,4.89620E-01
353.0,5.20400E-01
353.5,5.72280E-01
354.0,6.04980E-01
354.5,6.11560E-01
355.0,6.11400E-01
355.5,5.90280E-01
356.0,5.53870E-01
356.5,5.19420E-01
357.0,4.56730E-01
357.5,4.62150E-01
358.0,4.30060E-01
358.5,3.99260E-01
359.0,4.69530E-01
359.5,5.65490E-01
360.0,5.98170E-01
360.5,5.65310E-01
361.0,5.20240E-01
361.5,5.09560E-01
362.0,5.34200E-01
362.5,5.85100E-01
363.0,6.01910E-01
363.5,5.85410E-01
364.0,6.06280E-01
364.5,6.00580E-01
365.0,6.23590E-01
365.5,6.86280E-01
366.0,7.35320E-01
366.5,7.36580E-01
367.0,7.22850E-01
367.5,7.09140E-01
368.0,6.67590E-01
368.5,6.63100E-01
369.0,6.93150E-01
369.5,7.44690E-01
370.0,7.55070E-01
370.5,6.82610E-01
371.0,6.93380E-01
371.5,7.20510E-01
372.0,6.74440E-01
372.5,6.42530E-01
373.0,6.18860E-01
373.5,5.57860E-01
374.0,5.56400E-01
374.5,5.52270E-01
375.0,5.89300E-01
375.5,6.51620E-01
376.0,6.74800E-01
376.5,6.63900E-01
377.0,7.12250E-01
377.5,7.94550E-01
378.0,8.55950E-01
378.5,8.34180E-01
379.0,7.43890E-01
379.5,6.66830E-01
380.0,7.00770E-01
380.5,7.50750E-01
381.0,7.63830E-01
381.5,6.88370E-01
382.0,5.86780E-01
382.5,5.07620E-01
383.0,4.54990E-01
383.5,4.40490E-01
384.0,5.09680E-01
384.5,6.13590E-01
385.0,6.73550E-01
385.5,6.43630E-01
386.0,6.21000E-01
386.5,6.45700E-01
387.0,6.51470E-01
