#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance edge major)	
300	0.9717	300	0.491405721143043	300	0.280623223343182	300	0.518921331574729	300	0.234711474491603	
305	0.972	305	0.518335759953463	305	0.197378318811652	305	0.456310877211145	305	0.226696451921024	
310	0.9723	310	0.536660560324509	310	0.172862438602165	310	0.471032122124288	310	0.26368633558427	
315	0.9726	315	0.535411787334941	315	0.162740040076875	315	0.550667663423092	315	0.21228953613519	
320	0.9729	320	0.576747905616155	320	0.244453254342214	320	0.505976066047606	320	0.261078067939932	
325	0.9732	325	0.55149830097225	325	0.197973296369158	325	0.575801238414354	325	0.226714950155705	
330	0.9735	330	0.51116505973631	330	0.195037436023564	330	0.522070071637379	330	0.215900169511416	
335	0.9738	335	0.519033060881048	335	0.184106506340727	335	0.590314404640884	335	0.225537123311009	
340	0.9741	340	0.469198675020404	340	0.16480355111544	340	0.454825019582071	340	0.184545575777291	
345	0.9744	345	0.29018484689639	345	0.0814786005780508	345	0.285988583227169	345	0.0815445314672951	
350	0.9747	350	0.185307417725538	350	0.0249752028392697	350	0.184967391764438	350	0.0348367810859774	
355	0.97507	355	0.164593667776363	355	0.0277213019232705	355	0.15682820546368	355	0.0287920187148311	
360	0.97544	360	0.136737964077822	360	0.02116932178318	360	0.136237193912349	360	0.0204160452199434	
365	0.97581	365	0.116526491992294	365	0.0193289239203445	365	0.113865072298061	365	0.0178673435289263	
370	0.97618	370	0.0901504088472429	370	0.0165233188488093	370	0.0855919619274097	370	0.0146182444166841	
375	0.97655	375	0.0688336162737354	375	0.013134727959987	375	0.0631071359399481	375	0.0109122475924384	
380	0.97692	380	0.0469771165432423	380	0.0110899919610272	380	0.0409612985573085	380	0.0109610633431765	
385	0.97729	385	0.0321126455261647	385	0.00872248433597311	385	0.0262861053631278	385	0.00760656732269033	
390	0.97766	390	0.0209629771260003	390	0.00886135279291636	390	0.0156065227925471	390	0.00686582760417944	
395	0.97803	395	0.0147936826254159	395	0.00739847334931147	395	0.0103118370598442	395	0.0056356635358596	
400	0.9784	400	0.0113286452312088	400	0.00663706185909177	400	0.00781721646669098	400	0.00593868102348771	
405	0.97864	405	0.00960154784110319	405	0.00698668535866127	405	0.00663072471887509	405	0.00508827458399447	
410	0.97888	410	0.010289897110295	410	0.00592501505322441	410	0.00746655996363613	410	0.00495181575145956	
415	0.97912	415	0.0108957212061762	415	0.00572095699182414	415	0.0106879339422183	415	0.00469926153990399	
420	0.97936	420	0.0117903320580319	420	0.00587636036918255	420	0.013330201118274	420	0.00432649241047191	
425	0.9796	425	0.012354872621107	425	0.00555499840423671	425	0.0166907151864859	425	0.00477898014387687	
430	0.97984	430	0.0130493777338216	430	0.00550542821916553	430	0.019369918555961	430	0.00443964281193383	
435	0.98008	435	0.0147409935902409	435	0.00561635561037989	435	0.0210312784163422	435	0.00479258273130169	
440	0.98032	440	0.0160410686902767	440	0.00563313636142937	440	0.023295833745267	440	0.00466272839510426	
445	0.98056	445	0.0176554771060015	445	0.00634179909592781	445	0.0255609019755505	445	0.00533390610012686	
450	0.9808	450	0.0265113291105161	450	0.00779897588368927	450	0.0262822794913029	450	0.00702674381935531	
455	0.980920000000001	455	0.0365595608463341	455	0.0115947762945259	455	0.0242896898168459	455	0.0105969807162142	
460	0.98104	460	0.0348946037756826	460	0.0113397628231691	460	0.0380442717157339	460	0.00980139502404591	
465	0.98116	465	0.0355420332030779	465	0.0177085302700905	465	0.0417174473657193	465	0.0133669535473906	
