#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance edge major)	
300	0.9717	300	0.442039014112005	300	0.112482162470343	300	0.447206463861606	300	0.147593653287706	
305	0.972	305	0.524424236399218	305	0.0900326577158149	305	0.455758174434107	305	0.137263847122103	
310	0.9723	310	0.494342058147594	310	0.147979232727173	310	0.464562772081981	310	0.137043168110629	
315	0.9726	315	0.534465516565822	315	0.125187817998365	315	0.675435947244481	315	0.197290836402289	
320	0.9729	320	0.600972108579293	320	0.102952880836694	320	0.491290191918646	320	0.157543304044121	
325	0.9732	325	0.489271544626511	325	0.0757554262731607	325	0.461657513651395	325	0.14859295571584	
330	0.9735	330	0.482132998034061	330	0.153883588040542	330	0.419751900285951	330	0.148522411732422	
335	0.9738	335	0.497413414634815	335	0.103265492023002	335	0.504871802330408	335	0.133290146142478	
340	0.9741	340	0.463119095570158	340	0.100585181546574	340	0.503066184740268	340	0.136874822092894	
345	0.9744	345	0.447656727283239	345	0.0685142165575022	345	0.436004502761832	345	0.0825901044268807	
350	0.9747	350	0.429398889719999	350	0.0180805975567124	350	0.406777730788189	350	0.0541273145058519	
355	0.97507	355	0.426697017130053	355	0.0186093241678504	355	0.423977126035257	355	0.0163521026477174	
360	0.97544	360	0.417080839901125	360	0.0211329072009212	360	0.419232818697272	360	0.017510980398697	
365	0.97581	365	0.42450588433272	365	0.0127037909595878	365	0.418457067434676	365	0.0173585270444865	
370	0.97618	370	0.419681592905296	370	0.0141624140286202	370	0.417193695371577	370	0.0127257180896267	
375	0.97655	375	0.41841314888831	375	0.0109697430204085	375	0.412034225872157	375	0.0102621688948011	
380	0.97692	380	0.41633589895167	380	0.00937516441631145	380	0.410063592955014	380	0.00839386487279445	
385	0.97729	385	0.409468371090592	385	0.00693213683866989	385	0.4054960380739	385	0.00793384375936686	
390	0.97766	390	0.405160769858583	390	0.00635668452128497	390	0.397639331279714	390	0.00696336435242949	
395	0.97803	395	0.399917959365405	395	0.00573443668527155	395	0.390107886962554	395	0.00588305647347125	
400	0.9784	400	0.39999077375416	400	0.00565723842141377	400	0.387367143902705	400	0.00599123680968822	
405	0.97864	405	0.399654401547962	405	0.0060159440695711	405	0.38645955912143	405	0.00586082641125377	
410	0.97888	410	0.395407424739911	410	0.00524404552680256	410	0.384900636476214	410	0.00513835057653334	
415	0.97912	415	0.387858497063498	415	0.00504574662813521	415	0.381521339464164	415	0.00527431259659334	
420	0.97936	420	0.378843424457285	420	0.00498044855131137	420	0.376709970831059	420	0.00495450521307359	
425	0.9796	425	0.36830635206311	425	0.0048094610733479	425	0.370586637731712	425	0.00477570826458537	
430	0.97984	430	0.358148986225742	430	0.00503737734496335	430	0.361927773036482	430	0.00481733791288862	
435	0.98008	435	0.35302558836368	435	0.0049791541287416	435	0.351349582400709	435	0.00499918983438064	
440	0.98032	440	0.351718940352684	440	0.00497046129931562	440	0.346721722479247	440	0.004729803042751	
445	0.98056	445	0.3468780156461	445	0.00512646285521648	445	0.348511343154252	445	0.00499346043772293	
450	0.9808	450	0.338971137835328	450	0.00540616310127823	450	0.345710800229694	450	0.00516488141365174	
455	0.980919999999999	455	0.343082803433399	455	0.00354899001074336	455	0.349967441583742	455	0.00880249954326134	
460	0.98104	460	0.357512737505073	460	0.00853123643444487	460	0.333072175333164	460	0.00925947264686217	
465	0.98116	465	0.368239667259882	465	0.00749774874271058	465	0.338241801413136	465	0.00613530510967078	
470	0.98128	470	0.361891512792081	470	0.00681572310411844	470	0.361732895627165	470	0.00734018634930117	
