#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance edge major)	
300	0.235111360130309	300	0.118899935652728	300	0.067899256688656	300	0.125557579568967	300	0.0567905053060729	
305	0.239103680231318	305	0.127506160288446	305	0.0485533769812102	305	0.112248570031652	305	0.0557653867795255	
310	0.243098419920266	310	0.134178066695889	310	0.0432197734112418	310	0.117769376344857	310	0.0659279353441337	
315	0.247095579197155	315	0.136024969875089	315	0.0413452030242275	315	0.139900827923785	315	0.0539335861493112	
320	0.251095158061984	320	0.148852509530894	320	0.0630907889174884	320	0.130587049316275	320	0.0673814767559817	
325	0.255097156514752	325	0.144559852446299	325	0.0518931617032723	325	0.150930187666641	325	0.0594269822483603	
330	0.259101574555461	330	0.136048969527904	330	0.0519101250857374	330	0.138951389408862	330	0.0574628391034401	
335	0.26310841218411	335	0.14023615169385	335	0.0497432435367348	335	0.159495466927984	335	0.0609372709005251	
340	0.267117669400698	340	0.128663644961858	340	0.0451924242715484	340	0.124722101648588	340	0.0506060816136332	
345	0.271129346205227	345	0.0807446919311188	345	0.0226716335226229	345	0.0795770705998988	345	0.0226899789648392	
350	0.275143442597696	350	0.0523095525309261	350	0.00705013161872619	350	0.0522135682142034	350	0.00983390979482726	
355	0.279180000831541	355	0.047126114337095	355	0.00793710512475008	355	0.0449027234267892	355	0.00824367051467923	
360	0.283219543223845	360	0.039701943458828	360	0.00614652428216071	360	0.039556544564457	360	0.00592781001561319	
365	0.287262069774609	365	0.03430344152374	365	0.00569011046399822	365	0.0335199642792926	365	0.00525984575224002	
370	0.291307580483832	370	0.0269023105174441	370	0.00493082017190428	370	0.0255419977237169	370	0.00436231577367446	
375	0.295356075351515	375	0.0208186234753598	375	0.00397257867090428	375	0.0190866581310712	375	0.00330039283412689	
380	0.299407554377656	380	0.0143976001882716	380	0.00339887336846315	380	0.0125538654395209	380	0.0033593591788059	
385	0.303462017562257	385	0.0099714191290523	385	0.00270845163129633	385	0.00816219808587914	385	0.0023619440150485	
390	0.307519464905318	390	0.00659382966328788	390	0.00278730690548338	390	0.00490897606345429	390	0.00215962157699959	
395	0.311579896406838	395	0.00471295778238164	395	0.00235699882390849	395	0.00328513555092424	395	0.00179540449749693	
400	0.315643312066817	400	0.00365475378373743	400	0.00214119397751029	400	0.00252192569162878	400	0.00191588813119584	
405	0.319667248116908	405	0.00313629156383174	405	0.00228216145064778	405	0.00216588891104345	405	0.00166205625554721	
410	0.323693119837352	410	0.0034026324967685	410	0.00195926631217461	410	0.00246901978698313	410	0.00163745166869247	
415	0.327720927228147	415	0.00364690319522372	415	0.00191485959840771	415	0.00357735478970603	415	0.0015728882559287	
420	0.331750670289294	420	0.00399388433587795	420	0.00199057189525584	420	0.0045155031409068	420	0.00146556604024629	
425	0.335782349020794	425	0.00423494094586363	425	0.00190411434563226	425	0.00572115919983184	425	0.00163811471890027	
430	0.339815963422645	430	0.00452562343513698	430	0.00190932437372423	430	0.00671763505828714	430	0.00153970188948167	
435	0.343851513494848	435	0.00517173389562299	435	0.00197044361374011	435	0.00737861900476574	435	0.00168143092982956	
440	0.347888999237404	440	0.00569254053100907	440	0.00199904742466286	440	0.00826706002942088	440	0.00165467593753942	
445	0.351928420650311	445	0.00633664862297344	445	0.00227610685721572	445	0.00917394943976188	445	0.00191436847282645	
450	0.355969777733571	450	0.00962197382839719	450	0.00283054619888494	450	0.00953884297395052	450	0.00255027369042277	
455	0.359969033986674	455	0.0134162926648778	455	0.00425494476820953	455	0.00891360781634177	455	0.00388878288911535	
460	0.363969258074953	460	0.0129460195782584	460	0.00420709151665049	460	0.014114557357883	460	0.00363635170329602	
465	0.367970449998409	465	0.0133295466097221	465	0.00664133867289293	465	0.0156455500427542	465	0.00501309053767085	
470	0.37197260975704	470	0.0191530587006619	470	0.00605969646903528	470	0.0167735227262952	470	0.00606500795096853	
475	0.375975737350847	475	0.0273750440444522	475	0.0070772840879541	475	0.0182271482982495	475	0.00761142501985209	
480	0.379979832779831	480	0.0281619158396699	480	0.00860772461407079	480	0.0222953977193367	480	0.00948269762987757	
485	0.38398489604399	485	0.022365618653781	485	0.00886594706602642	485	0.0291146878659296	485	0.00969811950284629	
490	0.387990927143325	490	0.0215879436991418	490	0.011023460539894	490	0.0330930273276682	490	0.0121155659560391	
495	0.391997926077837	495	0.0312008629463991	495	0.0127270932137039	495	0.0322811827570926	495	0.0133147777133256	
500	0.396005892847524	500	0.0442249312970526	500	0.0141001269210976	500	0.0295501863395368	500	0.0155209474910489	
