#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance edge major)	
300	0.235111360130309	300	0.104549555764501	300	0.0801178834611708	300	0.104925298989438	300	0.085667360790646	
305	0.239103680231318	305	0.104086771638706	305	0.0744849184328142	305	0.112953738644142	305	0.0945476706844824	
310	0.243098419920266	310	0.107163912549803	310	0.0873946089966068	310	0.107527987262489	310	0.0844773207449891	
315	0.247095579197155	315	0.105876633050042	315	0.0963761615770757	315	0.127716671414955	315	0.0924106863988217	
320	0.251095158061984	320	0.101719518591255	320	0.0881308570611439	320	0.114566840637525	320	0.107611212907869	
325	0.255097156514752	325	0.103569804884727	325	0.0924199407683139	325	0.119338755936263	325	0.0911784212651183	
330	0.259101574555461	330	0.122077615559008	330	0.0824372257926035	330	0.119497080131109	330	0.103323070129156	
335	0.26310841218411	335	0.113045752248749	335	0.100938976510014	335	0.130435937754778	335	0.103572607126069	
340	0.267117669400698	340	0.0934173627584793	340	0.0788198322131519	340	0.105885942962214	340	0.0791747546609714	
345	0.271129346205227	345	0.0740698401950106	345	0.032907508393034	345	0.0620194884026724	345	0.0408938722527318	
350	0.275143442597696	350	0.0459645769194645	350	0.00912733142456668	350	0.0300585515073375	350	0.00650477054885824	
355	0.279180000831541	355	0.0402645705008756	355	0.00614438487478818	355	0.0252898929241528	355	0.00809272275060139	
360	0.283219543223845	360	0.0352787164389653	360	0.00630051127395652	360	0.0187342653037819	360	0.00643798890920595	
365	0.287262069774609	365	0.0289520216565627	365	0.00559962483760182	365	0.0147716963561042	365	0.00620394692394139	
370	0.291307580483832	370	0.022511158517569	370	0.00433901876472786	370	0.00968638726294594	370	0.00466911481570391	
375	0.295356075351514	375	0.0159361580306728	375	0.00352383993084501	375	0.00659181254329132	375	0.00392165218084623	
380	0.299407554377656	380	0.010475446907156	380	0.00306502204116212	380	0.00444067177291109	380	0.00306947373225715	
385	0.303462017562257	385	0.00651506417145375	385	0.00259728591023957	385	0.00425239873114045	385	0.0028550234481113	
390	0.307519464905318	390	0.00392937874474339	390	0.002357054267555	390	0.00479981657759836	390	0.0024359542048151	
395	0.311579896406838	395	0.00274317370440753	395	0.00213314308289625	395	0.00618735173131052	395	0.00222631666195893	
400	0.315643312066817	400	0.0024981609252044	400	0.00209140885601236	400	0.00784996642267434	400	0.00204140662415958	
405	0.319667248116908	405	0.00334737789391271	405	0.001924087846458	405	0.0102273692892952	405	0.00204246084187952	
410	0.323693119837352	410	0.00422049495867312	410	0.00186006287088988	410	0.0126983397329979	410	0.00187976293034744	
415	0.327720927228147	415	0.00522485470234499	415	0.00184141945698292	415	0.0150543503027706	415	0.00179815630647703	
