#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Diffuse reflectance edge major)	
300	0.9717	300	0.627162216877413	300	0.135435650839429	300	0.621311090760336	300	0.188613149678686	
305	0.972	305	0.657403185892751	305	0.160281765837028	305	0.658713163387999	305	0.197278377823648	
310	0.9723	310	0.726835129415746	310	0.166242752718212	310	0.655929618912016	310	0.132500058173836	
315	0.9726	315	0.64623173223218	315	0.0903283959570683	315	0.586586462226735	315	0.123502458432706	
320	0.9729	320	0.594772081653694	320	0.156206212469745	320	0.614447123041053	320	0.157782543205687	
325	0.9732	325	0.655911463280573	325	0.159609030648171	325	0.654262797138717	325	0.193815379039487	
330	0.9735	330	0.618283793868911	330	0.146607201754808	330	0.652303361275098	330	0.125497906403173	
335	0.9738	335	0.714528890491799	335	0.154498208218309	335	0.617393057987424	335	0.183320191911383	
340	0.9741	340	0.56742099860871	340	0.161398958313218	340	0.609185566427816	340	0.124212893641847	
345	0.9744	345	0.488224033105238	345	0.0588347755516442	345	0.473826459858387	345	0.0465654242340374	
350	0.9747	350	0.408250249688157	350	0.0219618638118567	350	0.393867975965643	350	0.0249050495367764	
355	0.97507	355	0.412749721010311	355	0.0231570096926716	355	0.417092351680012	355	0.014223964052478	
360	0.97544	360	0.419769763751337	360	0.0200539207812748	360	0.421944791097022	360	0.0149399988400805	
365	0.97581	365	0.422229869447204	365	0.0171710279611566	365	0.422552287991225	365	0.0155821063995537	
370	0.97618	370	0.421596012661785	370	0.0153192350054145	370	0.424431644011221	370	0.0142021951686108	
375	0.97655	375	0.420328540717528	375	0.0116240643821048	375	0.421862466947102	375	0.0112885441808808	
380	0.97692	380	0.416598419950147	380	0.00906524021894121	380	0.415944965577381	380	0.00922051801583121	
385	0.97729	385	0.412105471421544	385	0.00728519537172124	385	0.412398434226771	385	0.00696411872668906	
390	0.97766	390	0.407899681853276	390	0.00665003747425584	390	0.40491754249063	390	0.00598190013359022	
395	0.97803	395	0.404874643047065	395	0.00576149443906103	395	0.397178532969518	395	0.00535674921068531	
400	0.9784	400	0.402995311608315	400	0.00555341640436126	400	0.393303807266219	400	0.00541552681190416	
405	0.97864	405	0.397425067833722	405	0.00504336261597024	405	0.392137289778938	405	0.0050294405480828	
410	0.97888	410	0.387940191769257	410	0.00471373052887308	410	0.391745232733444	410	0.00478837304547843	
415	0.97912	415	0.377229872419465	415	0.00456216650269216	415	0.390061124203193	415	0.00431398343110494	
420	0.97936	420	0.366860149377619	420	0.00451119748584131	420	0.385683809988286	420	0.00451850692740165	
425	0.9796	425	0.358423750962105	425	0.00442872332965547	425	0.378636559426208	425	0.00423508328745033	
430	0.97984	430	0.354170931862178	430	0.0043146484077201	430	0.370857092582365	430	0.00418736429419427	
435	0.98008	435	0.35316461968685	435	0.00444753654815522	435	0.361104788444391	435	0.00436886789642663	
440	0.98032	440	0.348813124579981	440	0.0045285285159393	440	0.356112742271786	440	0.00442265335128648	
445	0.98056	445	0.349145369832106	445	0.00482064019692397	445	0.35513710540254	445	0.00460348654638336	
450	0.9808	450	0.366676680535836	450	0.00536089707641651	450	0.343691032258317	450	0.00531789079532059	
455	0.98092	455	0.367413696025303	455	0.00876497580532078	455	0.339815000224476	455	0.00733204226058752	
460	0.98104	460	0.35252074337558	460	0.00546465877636475	460	0.348960284419472	460	0.00644320515017128	
465	0.98116	465	0.345671461044683	465	0.0076993320506448	465	0.366239885200713	465	0.00630533202685923	
470	0.98128	470	0.374475074525748	470	0.00743455616480679	470	0.35928689508364	470	0.00911302772237685	
475	0.9814	475	0.394479657758519	475	0.00942492463082462	475	0.335269340417313	475	0.0096667542509188	
480	0.98152	480	0.361709115714328	480	0.0139859957990856	480	0.340552639893454	480	0.0106855889446624	
485	0.98164	485	0.316959394293303	485	0.0129400457191031	485	0.377654458610369	485	0.0117559913023168	
490	0.98176	490	0.321446478388124	490	0.0150116893605934	490	0.404872678343001	490	0.0128488391909453	
495	0.98188	495	0.377656257533332	495	0.017805830316756	495	0.382197325270958	495	0.0144249597281475	
500	0.982	500	0.413800847728342	500	0.0170776618776311	500	0.3251034182426	500	0.0165743920962612	
505	0.98205	505	0.384049658220307	505	0.0188471760638934	505	0.305521647021326	505	0.0210988558122741	
510	0.9821	510	0.309903728080622	510	0.0237097759493291	510	0.332863704096074	510	0.0221521556331324	
515	0.98215	515	0.264507211654317	515	0.0276682851403584	515	0.390961324715312	515	0.0218150544190393	
520	0.9822	520	0.300264545095885	520	0.0279929293687526	520	0.431042645992279	520	0.0231266593353836	
525	0.98225	525	0.38462294814426	525	0.028310833418094	525	0.416852601492875	525	0.0260756193015127	
530	0.9823	530	0.448159044665637	530	0.0268124721921001	530	0.354098321130118	530	0.0308147883895226	
535	0.98235	535	0.457500175745735	535	0.0270121593126159	535	0.283928128982204	535	0.0377964560143286	
540	0.9824	540	0.400903618914037	540	0.033506728561374	540	0.260702761484319	540	0.0430896847510832	
545	0.98245	545	0.30479331917676	545	0.0429412032172232	545	0.306548150339604	545	0.0434153672247256	
550	0.9825	550	0.250247514513465	550	0.0496230041245116	550	0.389786426338173	550	0.0396714985508625	
555	0.98258	555	0.290804339501054	555	0.0516998997318918	555	0.463421304098169	555	0.0370711114735822	
560	0.98266	560	0.390880336360744	560	0.0485867424823333	560	0.491766534993716	560	0.0353316716330941	
565	0.98274	565	0.488608374584319	565	0.0424731423773344	565	0.463977964754512	565	0.0392031845952249	
570	0.98282	570	0.545004406379372	570	0.0380403202190393	570	0.392690463135503	570	0.0493522718528369	
575	0.9829	575	0.553271966100796	575	0.0372537657433247	575	0.304786708698923	575	0.0618095979623452	
580	0.98298	580	0.509152984854075	580	0.0410389025253289	580	0.253422026130349	580	0.0745929992681083	
585	0.98306	585	0.417146909732685	585	0.0523548285665578	585	0.274406618274166	585	0.0789846040088454	
590	0.98314	590	0.310309331597822	590	0.0708114516704133	590	0.354043622900348	590	0.0733751861468416	
595	0.98322	595	0.250910308616022	595	0.0830883449311985	595	0.454199590256401	595	0.0648060218526511	
600	0.9833	600	0.289877054765032	600	0.0899660148725212	600	0.540645776207472	600	0.0547220908297807	
605	0.98322	605	0.394401619367852	605	0.0847123160767031	605	0.597441663359114	605	0.0471350264967231	
610	0.98314	610	0.499859669250193	610	0.0749615166590194	610	0.614340233609949	610	0.0457314820107242	
615	0.98306	615	0.586492503746437	615	0.066225117116166	615	0.59730764853205	615	0.051362110421847	
620	0.98298	620	0.641677889589331	620	0.0608289294202514	620	0.545306264188553	620	0.0667501369664975	
625	0.9829	625	0.668019296718556	625	0.0586544730954469	625	0.466565723947599	625	0.0954535520694779	
630	0.98282	630	0.668256974090978	630	0.0609665934923872	630	0.378329407488877	630	0.137131540064619	
635	0.98274	635	0.635820690492549	635	0.0730730362552478	635	0.322267928614474	635	0.175281588767812	
640	0.98266	640	0.566346367352379	640	0.100847799893341	640	0.32795398737873	640	0.197196688755112	
645	0.98258	645	0.464640393943711	645	0.149984022813456	645	0.400599958179218	645	0.195717857934016	
650	0.9825	650	0.384762879640894	650	0.214072064773301	650	0.508336025508937	650	0.175973609251893	
655	0.98253	655	0.408305363777795	655	0.276494189624455	655	0.628089677953664	655	0.154545271639123	
660	0.98256	660	0.550430658905409	660	0.309528857713396	660	0.746415309688521	660	0.135600758946381	
665	0.98259	665	0.709419532399972	665	0.292797232014761	665	0.826160688583483	665	0.113383998843144	
670	0.98262	670	0.812220827097031	670	0.242896371479173	670	0.859903137771354	670	0.0954203593509313	
675	0.98265	675	0.86003371898425	675	0.19065659248601	675	0.870123332707212	675	0.0931434194625384	
680	0.98268	680	0.879325859045976	680	0.153562660334822	680	0.866638471501635	680	0.116149145737093	
685	0.98271	685	0.886964946239216	685	0.129575565286046	685	0.854934772977022	685	0.176845063789336	
690	0.98274	690	0.885871478917491	690	0.115087882828601	690	0.836406433140962	690	0.288905186199344	
695	0.98277	695	0.8800832107559	695	0.110669384328964	695	0.813135081022003	695	0.431772224112543	
700	0.9828	700	0.869943660630386	700	0.121052520952208	700	0.793918457744647	700	0.566234281031658	
705	0.98277	705	0.848243833463669	705	0.155213339116489	705	0.787162518716369	705	0.636370737679112	
710	0.98274	710	0.817321100904383	710	0.229693957315617	710	0.797691468156951	710	0.618996926952199	
