#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Diffuse reflectance centre)	
300	0.9717	300	0.332978499879855	300	0.20722072550951	
305	0.972	305	0.383933423774323	305	0.150219889447996	
310	0.9723	310	0.330018418429308	310	0.177493671585524	
315	0.9726	315	0.4019737721344	315	0.221124636767064	
320	0.9729	320	0.374352211363793	320	0.162579285082466	
325	0.9732	325	0.358377395610039	325	0.149585109360049	
330	0.9735	330	0.4091953409078	330	0.135660998533374	
335	0.9738	335	0.354492168022288	335	0.162188730571046	
340	0.9741	340	0.30581949966302	340	0.136511310048248	
345	0.9744	345	0.200569820675452	345	0.0738159234204323	
350	0.9747	350	0.129415593790223	350	0.0275509663289714	
355	0.97507	355	0.112410203267343	355	0.0209190265833182	
360	0.97544	360	0.0813132749304113	360	0.0188883443405367	
365	0.97581	365	0.068368105933575	365	0.0196290085437222	
370	0.97618	370	0.0501356011307393	370	0.0120093504736557	
375	0.97655	375	0.0321112858229945	375	0.0101578997213846	
380	0.97692	380	0.0210420606283107	380	0.00949147594607821	
385	0.97729	385	0.0127988992402979	385	0.00721722370737958	
390	0.97766	390	0.00961593845684591	390	0.00703841414545804	
395	0.97803	395	0.00933133019844005	395	0.00645740887258785	
400	0.9784	400	0.0106285319326777	400	0.0056525345441867	
405	0.97864	405	0.0139229500661491	405	0.00535606372380996	
410	0.97888	410	0.0170290242421298	410	0.00474682079901506	
415	0.97912	415	0.0208864205197958	415	0.00530194480665369	
420	0.97936	420	0.0234030036466982	420	0.00508800096956793	
425	0.9796	425	0.024279474145615	425	0.00486543050668964	
430	0.97984	430	0.0248326005659474	430	0.00519235577588596	
435	0.98008	435	0.02560245721378	435	0.00506618054023376	
440	0.98032	440	0.0272599101095404	440	0.00522799592498108	
445	0.98056	445	0.0269569531424652	445	0.00571935013362557	
450	0.9808	450	0.0265546776155491	450	0.00637462148567092	
455	0.980920000000001	455	0.0295466130674045	455	0.0132792133463348	
460	0.98104	460	0.0411147098648243	460	0.00670455894465271	
465	0.98116	465	0.0502347354607069	465	0.00972582002047507	
470	0.98128	470	0.0448435877944641	470	0.0104659092525846	
475	0.9814	475	0.0399780183492893	475	0.0110039658259124	
480	0.98152	480	0.0431721925867821	480	0.0159185671496503	
485	0.98164	485	0.0590680584552309	485	0.0173367022457398	
490	0.98176	490	0.0798542211157294	490	0.017319795897842	
495	0.98188	495	0.0834283220878189	495	0.018324355501927	
500	0.982	500	0.0725560148958211	500	0.0207105484600093	
505	0.98205	505	0.0546088896293519	505	0.0250576237495213	
510	0.9821	510	0.0426003226436872	510	0.0273992913964618	
515	0.98215	515	0.0488038698747832	515	0.0308628199758308	
520	0.9822	520	0.0694222060178369	520	0.034868685950872	
525	0.98225	525	0.0936082672649246	525	0.0338233818261884	
530	0.9823	530	0.1059033171372	530	0.0362170797456764	
535	0.98235	535	0.106985161151885	535	0.0400900592688561	
540	0.9824	540	0.0947467098818884	540	0.0428495904107951	
545	0.98245	545	0.0785311955999533	545	0.0481036822237019	
550	0.9825	550	0.0691724132377032	550	0.0520386854824673	
555	0.98258	555	0.0708680555398848	555	0.055579578454745	
560	0.98266	560	0.0879065426947193	560	0.0579532439413745	
565	0.98274	565	0.112984698782827	565	0.0594001761034769	
570	0.98282	570	0.139448097974161	570	0.0597619338498048	
575	0.9829	575	0.159980905927706	575	0.0606115681381618	
580	0.98298	580	0.170734877665848	580	0.0617368090901332	
585	0.98306	585	0.170408500815661	585	0.0643826719550826	
590	0.98314	590	0.163056307555702	590	0.0690024769018676	
595	0.98322	595	0.1496452013958	595	0.0745257290447026	
600	0.9833	600	0.13534606272679	600	0.0808725844337169	
605	0.98322	605	0.126635387360934	605	0.0894108836881525	
610	0.98314	610	0.123954060826292	610	0.0964061659092625	
615	0.98306	615	0.131766924757573	615	0.102770773316939	
620	0.98298	620	0.150605027906293	620	0.107848596263533	
625	0.9829	625	0.176983233066028	625	0.111707813889449	
