#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Diffuse reflectance edge major)	
300	0.9717	300	0.432096531958554	300	0.331122015184938	300	0.433649454333164	300	0.354057644999092	
305	0.972	305	0.423131680511755	305	0.302794756846292	305	0.459177516029406	305	0.384353498099273	
310	0.9723	310	0.428614353833928	310	0.349544757860916	310	0.430070512385925	310	0.337876729051933	
315	0.9726	315	0.416744053612985	315	0.379348975220124	315	0.502709255348812	315	0.363740354576642	
320	0.9729	320	0.394125161159032	320	0.341474170575687	320	0.443903737995351	320	0.416953277180364	
325	0.9732	325	0.395120570887222	325	0.352583649243937	325	0.455279387916087	325	0.347847231178688	
330	0.9735	330	0.458671696420958	330	0.309734278715938	330	0.448976073214616	330	0.388206860353152	
335	0.9738	335	0.418397696318431	335	0.373588873535027	335	0.482761136868258	335	0.38333629845628	
340	0.9741	340	0.340665794468768	340	0.287432870805927	340	0.386135059020634	340	0.288727169147166	
345	0.9744	345	0.266196386692083	345	0.11826486740355	345	0.222889149940343	345	0.146966714156056	
350	0.9747	350	0.162830241202257	350	0.0323337160265641	350	0.106482894440775	350	0.0230432526180263	
355	0.97507	355	0.140628894051687	355	0.0214600091052899	355	0.0883280171219477	355	0.028264815348254	
360	0.97544	360	0.121503872125188	360	0.0216996703232827	360	0.0645229193575735	360	0.0221731587803335	
365	0.97581	365	0.0983480773318148	365	0.0190215503114195	365	0.0501784625883945	365	0.0210743919397407	
370	0.97618	370	0.0754355334151704	370	0.0145401754760966	370	0.0324593596316227	370	0.0156463367455926	
375	0.97655	375	0.0526904859036065	375	0.0116510414772108	375	0.0217948269101624	375	0.012966347256096	
380	0.97692	380	0.0341797441076942	380	0.0100006873195834	380	0.014489217138858	380	0.0100152124910461	
385	0.97729	385	0.0209815617627131	385	0.00836447858486039	385	0.0136947180057012	385	0.0091945143185251	
390	0.97766	390	0.0124922057365332	390	0.00749350183711892	390	0.0152594850433276	390	0.00774433900830564	
395	0.97803	395	0.00861065238502603	395	0.00669580404071036	395	0.0194217139281417	395	0.00698827013554365	
400	0.9784	400	0.00774355278816294	400	0.00648274285085862	400	0.024332551504588	400	0.00632775086536583	
405	0.97864	405	0.0102477745887207	405	0.00589046685623863	405	0.0313104102476441	405	0.00625285790168272	
410	0.97888	410	0.0127631940623942	410	0.00562501403789979	410	0.0384010349187615	410	0.00568458896557052	
415	0.97912	415	0.015610110039139	415	0.00550154252879298	415	0.0449773396930107	415	0.0053722867736552	
420	0.97936	420	0.0175070586329749	420	0.00516887131210675	420	0.0499418575650368	420	0.00560403135835158	
425	0.9796	425	0.0188915510316899	425	0.00523387397356703	425	0.0526719973269079	425	0.00527699864796008	
430	0.97984	430	0.0197781185397692	430	0.00521719039437075	430	0.0540413344606617	430	0.00510259435867728	
435	0.98008	435	0.0212374570133874	435	0.00518559911852214	435	0.0539263550542303	435	0.00541527747135318	
