#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Diffuse reflectance edge major)	
300	0.134950352659094	300	0.0843744098297012	300	0.149218712633141	300	0.0670708783888623	
305	0.143045884226	305	0.0538510620748338	305	0.147586324200609	305	0.0723202633249233	
310	0.140715086344048	310	0.0713076427553209	310	0.137068576866983	310	0.0638520039630425	
315	0.14074880094927	315	0.0517215147161803	315	0.149830912121461	315	0.073524501714921	
320	0.145078099279116	320	0.070232399636638	320	0.144323902539417	320	0.0674383247248883	
325	0.156223192792379	325	0.081568630565509	325	0.161184216518763	325	0.0817739040405779	
330	0.149544828178029	330	0.0656710144539173	330	0.163269877409207	330	0.0743347547551809	
335	0.156273149218616	335	0.0690107761628605	335	0.170333357843461	335	0.0732520242760743	
340	0.151870163717537	340	0.0378012034938689	340	0.147738186990493	340	0.0698110410381411	
345	0.126318731069447	345	0.0282744421042497	345	0.128865010236549	345	0.0320029936115974	
350	0.112651737200771	350	0.00277942572364171	350	0.131959815012098	350	0.00811717922735604	
355	0.123457494851916	355	0.00823754250015156	355	0.122217202884179	355	0.0048813253677304	
360	0.125112485888495	360	0.00617305548819102	360	0.125056127511443	360	0.00597219263475046	
365	0.126420893266436	365	0.00452990534728926	365	0.127037157673053	365	0.00460515583303462	
370	0.129255623493171	370	0.0046094066696391	370	0.127018671582327	370	0.0045356050781986	
375	0.129591480058683	375	0.00356154114197574	375	0.128421770749616	375	0.00426144594989525	
380	0.129976753363582	380	0.00293663149057177	380	0.128870616582384	380	0.00272782167204581	
385	0.131129595134271	385	0.00248685001073139	385	0.129305431393747	385	0.00264449825470926	
390	0.131361620401015	390	0.00237414456689622	390	0.129193533176645	390	0.0023855969394149	
395	0.131847034874378	395	0.00221463421891576	395	0.12911493804001	395	0.00214633297438241	
400	0.133005010521967	400	0.00198321107981617	400	0.131076987963463	400	0.00219802502953935	
405	0.132921518524265	405	0.00200109543726575	405	0.131933635214401	405	0.00186236904694331	
410	0.131503702144168	410	0.0017865461441662	410	0.131551923163862	410	0.00192931328022336	
415	0.129334728287462	415	0.00178118334601247	415	0.130082086441742	415	0.00188026738896011	
420	0.127156492190715	420	0.00195280458521163	420	0.127825036982366	420	0.00183883116715982	
425	0.125673974543119	425	0.00177514462142014	425	0.126236552358324	425	0.00175755137215684	
430	0.125297973556567	430	0.00182684288232552	430	0.12511394912828	430	0.00184321792263059	
435	0.125917587118437	435	0.00180652533693009	435	0.12448442437141	435	0.00183696416847172	
440	0.127069449279837	440	0.00180582612811996	440	0.125250184404131	440	0.00193042388940772	
445	0.129002621214962	445	0.00202930453597232	445	0.127555090027579	445	0.00198118163756176	
450	0.131598627686652	450	0.00219242036583961	450	0.129795905119318	450	0.00218728907810219	
455	0.135398636061323	455	0.00306689713406483	455	0.131883095758403	455	0.00252116169256703	
460	0.136047354025516	460	0.00275337270363382	460	0.134160613725278	460	0.00356203608140191	
465	0.138061255977739	465	0.00346349241015043	465	0.133929971053974	465	0.00287376690897275	
470	0.138347380440721	470	0.00417761932379992	470	0.138583466922494	470	0.00422144300517541	
475	0.138721379978361	475	0.00460732142258315	475	0.142513006711808	475	0.00526519695709566	
480	0.1436214639346	480	0.00472552303847855	480	0.142335488593756	480	0.00424191636613905	
485	0.143476027391197	485	0.00530686551733103	485	0.140709963726879	485	0.00674384491328041	
490	0.143173172222468	490	0.005951189166344	490	0.13750370123945	490	0.00580182339656226	
495	0.140979281753695	495	0.00736894302528361	495	0.13596022532065	495	0.00759545404626341	
500	0.136514178248851	500	0.00755201112918987	500	0.138480443446089	500	0.00901955999099868	
505	0.135938877269787	505	0.00872208107473349	505	0.142385783977587	505	0.00840269964201198	
510	0.137172827492598	510	0.00960283444705408	510	0.145963529984105	510	0.0103325266395604	
515	0.142910350916801	515	0.0110337979328167	515	0.147061098112508	515	0.0106951975076147	
520	0.148016579984545	520	0.0118566769554421	520	0.146005384200245	520	0.0124349564811797	
525	0.151554683001062	525	0.01267857817131	525	0.142881459561546	525	0.0136894054403672	
530	0.152192290236386	530	0.0145690579729746	530	0.139775564276994	530	0.0160359483822571	
535	0.148982846952631	535	0.0151944502456025	535	0.140665726004735	535	0.0169492786189329	
540	0.14704349454325	540	0.0174187265083546	540	0.144860930504576	540	0.0186824087781211	
545	0.146525164725557	545	0.0193816625247707	545	0.152714799276608	545	0.0194922943399265	
550	0.151169510203366	550	0.0200183834084839	550	0.162313855121027	550	0.0202228974505359	
555	0.15939565279049	555	0.0217395042336077	555	0.170768928339474	555	0.0217424056134243	
560	0.168045844299451	560	0.0220806135139676	560	0.177163180042085	560	0.0220476032919402	
565	0.178624585004864	565	0.0225228749957058	565	0.181206904358809	565	0.0240425417090133	
570	0.187022157196522	570	0.0226829348025652	570	0.181806797015967	570	0.0255654126941069	
575	0.193251549788672	575	0.0243749155593474	575	0.17911908105495	575	0.0287999761889591	
580	0.195267493953804	580	0.0261038390684632	580	0.175689192015573	580	0.0309928865591433	
585	0.194264819652548	585	0.0286055510684811	585	0.173656210316437	585	0.0341128500291833	
590	0.189978007410696	590	0.0315276837880696	590	0.176690277616122	590	0.0359887840630787	
595	0.185308299326342	595	0.0351711425091853	595	0.182625681575414	595	0.038221749497281	
600	0.183716261615349	600	0.0388079859660546	600	0.191025409644208	600	0.0399922090574841	
605	0.185603532067928	605	0.0414675093358275	605	0.200747187227077	605	0.0413621624635133	
610	0.191717935361353	610	0.0441558139813516	610	0.209902700910192	610	0.0427013230930763	
615	0.199992841972564	615	0.0459219451651265	615	0.219839156677634	615	0.0446562911619927	
620	0.21021592632092	620	0.0482977697043465	620	0.229540014590547	620	0.0478280309741575	
625	0.221764771045296	625	0.0511613171741336	625	0.23722856014727	625	0.0506932452263226	
630	0.233743835409366	630	0.0531657324306701	630	0.245468683845745	630	0.0557341163832579	
635	0.246411756348788	635	0.0566342434839284	635	0.251751655971484	635	0.0614214161609613	
640	0.25575377345918	640	0.0599114106359822	640	0.254574372755226	640	0.0678274775660086	
645	0.264706710801313	645	0.0636837254418921	645	0.25527173510536	645	0.0780220885170246	
650	0.271210944070293	650	0.0695883815718916	650	0.253917827071422	650	0.0892599847610038	
655	0.275334199669642	655	0.0785227436542398	655	0.254620323178984	655	0.104487829565739	
660	0.285568245269926	660	0.0969550283871579	660	0.267448075967121	660	0.128073726427328	
665	0.301853398880282	665	0.127855282098332	665	0.296065246469493	665	0.158983159279484	
670	0.32036493509847	670	0.16230264516439	670	0.329521143074131	670	0.186471735771699	
675	0.335626845870409	675	0.190647783136297	675	0.3566511312734	675	0.201831154946623	
680	0.34602875555601	680	0.206470411414312	680	0.374018702636127	680	0.206425076195912	
685	0.356327444221027	685	0.213293249982943	685	0.387068546653082	685	0.205738576483184	
690	0.365211898648265	690	0.212623229835952	690	0.395736685734389	690	0.203048706676968	
695	0.374563822597162	695	0.208424210658209	695	0.404321919451127	695	0.199840125208462	
700	0.381640866661884	700	0.202328208518716	700	0.41162991206678	700	0.196220172041369	
705	0.388849132957793	705	0.195020889876012	705	0.41744198708484	705	0.194786680310637	
710	0.395805701304079	710	0.189254108610584	710	0.424922330592243	710	0.191976738692906	
715	0.402383402680929	715	0.183542603729636	715	0.430096559535445	715	0.191350792674177	
720	0.409795147484165	720	0.179184804948693	720	0.436376874704847	720	0.192339150521184	
725	0.416021494014406	725	0.175819855299219	725	0.441138739426158	725	0.195063220413068	
730	0.421323509879005	730	0.173674151928141	730	0.446027411397014	730	0.20184397453405	
735	0.426911595026975	735	0.17375527319206	735	0.450083030636998	735	0.212260816985773	
740	0.432509701367466	740	0.174036228552477	740	0.451683366508331	740	0.228514140795127	
745	0.435895427749558	745	0.179343043193467	745	0.453465831274579	745	0.248307469603952	
750	0.439623556226694	750	0.187654709497943	750	0.454470710761424	750	0.271260942261472	
755	0.443724723523541	755	0.200927295353413	755	0.457465241772044	755	0.290479360707702	
760	0.446009909237218	760	0.221230259531032	760	0.462588237536032	760	0.305518823475639	
765	0.449893191879429	765	0.245050491782636	765	0.468995081945464	765	0.31603732069499	
770	0.456759092725583	770	0.273117371757997	770	0.479552955481798	770	0.321316005299779	
775	0.462705775876864	775	0.298190998936992	775	0.49044255380986	775	0.325517513432741	
780	0.471298683943665	780	0.319403732975105	780	0.502044491085886	780	0.327234944154109	
785	0.481114351275627	785	0.335256725973897	785	0.513421720351976	785	0.330478142650713	
790	0.487789063469074	790	0.342894176734241	790	0.522563121310701	790	0.330413579772871	
795	0.494844044704761	795	0.34594209374044	795	0.531777683626952	795	0.32925756113016	
800	0.500660581957785	800	0.343550429169896	800	0.538832212690744	800	0.327205406372743	
805	0.506364216671963	805	0.338639922394693	805	0.544207841028436	805	0.324239033304517	
810	0.510565184102659	810	0.331945183085026	810	0.551120660736608	810	0.322567629807399	
815	0.51391843037134	815	0.324155305043651	815	0.553183707186375	815	0.317333984900608	
820	0.518505513655764	820	0.316582504663702	820	0.558713729638889	820	0.314540265937443	
825	0.521060481615505	825	0.308167242521686	825	0.562505430228182	825	0.310293808677017	
830	0.526366674606683	830	0.301750716416612	830	0.566791683658536	830	0.308000858102612	
835	0.528285448419706	835	0.295046141004588	835	0.570663400625301	835	0.305969048391708	
840	0.532728713084175	840	0.288190037977755	840	0.57510144769169	840	0.303924824795823	
845	0.537421563629167	845	0.283701318949295	845	0.579815891556458	845	0.303915329559264	
850	0.54026860710451	850	0.279208114517566	850	0.58327561188154	850	0.304036766900225	
855	0.545096450978232	855	0.275455712771539	855	0.588193004502941	855	0.305640482610989	
860	0.548675864736431	860	0.272356700933741	860	0.592312996241291	860	0.31089500385443	
865	0.554333548000923	865	0.271689015785452	865	0.598164258398901	865	0.316605092016066	
870	0.559754959198826	870	0.271233748343057	870	0.603959586502529	870	0.326527929534491	
875	0.562153426856647	875	0.271780883900795	875	0.607499698818232	875	0.338974050851757	
880	0.566917514850961	880	0.276582497535436	880	0.613499625456516	880	0.356892254741592	
885	0.572166786539157	885	0.282549219152106	885	0.618711211973582	885	0.378770853192662	
890	0.576783415096211	890	0.292257089111333	890	0.623084002836404	890	0.404026485043815	
895	0.581479998365513	895	0.303585187450519	895	0.6261389088661	895	0.428993475991973	
900	0.58516698849354	900	0.319326372981536	900	0.630512657867147	900	0.452150515711439	
905	0.591826984302184	905	0.340745346917337	905	0.633697036026254	905	0.473954580382849	
910	0.594371508391988	910	0.364479528402824	910	0.635739727150684	910	0.489459313148966	
915	0.60046553057104	915	0.391622882413646	915	0.640352016928481	915	0.500518335627163	
920	0.60307111094878	920	0.416099131174092	920	0.642141690778519	920	0.504991250558654	
925	0.604392554787455	925	0.440172759423563	925	0.643574808839742	925	0.504859122772125	
930	0.609473344763338	930	0.460790367862951	930	0.64746946833972	930	0.504724896028826	
935	0.609329259733049	935	0.474837689396514	935	0.648890464205265	935	0.501193026762869	
940	0.611967563648762	940	0.487868944767934	940	0.652340383600875	940	0.497575833562873	
945	0.614471278682459	945	0.492104279286633	945	0.655741421649158	945	0.491433826484424	
950	0.614275960213629	950	0.493673435768103	950	0.65668183311967	950	0.485055096119765	
955	0.618175831253727	955	0.492700783126289	955	0.660116129054771	955	0.480353539771145	
960	0.619173896062467	960	0.487966434586561	960	0.66187437338393	960	0.475218101698872	
965	0.62236870694258	965	0.480904963020252	965	0.665586884516352	965	0.468923264203036	
970	0.62382451942771	970	0.474298589937216	970	0.670194775192065	970	0.464222745817202	
975	0.626558799250144	975	0.467857407490015	975	0.671816007982816	975	0.459063597513631	
980	0.628324272377554	980	0.458312762875673	980	0.675320434890305	980	0.454533163304448	
985	0.632196689966693	985	0.449942732152615	985	0.679424065299564	985	0.449961710638329	
990	0.633270278244713	990	0.441471069928609	990	0.68084240425598	990	0.444215859888123	
995	0.637936860710977	995	0.435531416018971	995	0.686502774212218	995	0.44098780201103	
1000	0.640714223166479	1000	0.426722937187016	1000	0.690421464432242	1000	0.436866082413334	
1005	0.642215312438948	1005	0.41830477043891	1005	0.691472126345774	1005	0.431900492773839	
1010	0.648275000533641	1010	0.411792619766898	1010	0.697845523348403	1010	0.427811156233447	
1015	0.650562603969598	1015	0.403544586660459	1015	0.698237754108792	1015	0.425031488805771	
1020	0.653141691362525	1020	0.399896845222929	1020	0.703495410851394	1020	0.423362538928246	
1025	0.656522101327071	1025	0.391602657414213	1025	0.708228933327634	1025	0.41734324239576	
1030	0.660203558529209	1030	0.386139654721015	1030	0.711719757805551	1030	0.417053817863948	
1035	0.663564554246482	1035	0.382875821154794	1035	0.716860882078824	1035	0.414412646089692	
1040	0.667747218553199	1040	0.376545846292119	1040	0.715461241941216	1040	0.410943093281195	
