295.2+0i,3.893+0i,2.183+0i,10.38996-16.996838i
302.4+0i,3.904+0i,2.144+0i,10.64448-16.740352i
310+0i,3.962+0i,2.119+0i,11.207283-16.790956i
317.9+0i,4.078+0i,2.092+0i,12.25362-17.062352i
326.3+0i,4.267+0i,2.013+0i,14.15512-17.178942i
335.1+0i,4.462+0i,1.82+0i,16.597044-16.24168i
344.4+0i,4.613+0i,1.561+0i,18.843048-14.401786i
354.3+0i,4.667+0i,1.199+0i,20.343288-11.191466i
364.7+0i,4.562+0i,0.89+0i,20.019744-8.12036i
375.8+0i,4.413+0i,0.685+0i,19.005344-6.04581i
387.5+0i,4.277+0i,0.541+0i,18.000048-4.627714i
400+0i,4.155+0i,0.437+0i,17.073056-3.63147i
413.3+0i,4.05+0i,0.353+0i,16.277891-2.8593i
427.6+0i,3.961+0i,0.276+0i,15.613345-2.186472i
442.9+0i,3.872+0i,0.205+0i,14.950359-1.58752i
459.3+0i,3.787+0i,0.161+0i,14.315448-1.219414i
476.9+0i,3.738+0i,0.104+0i,13.961828-0.777504i
496+0i,3.635+0i,0.013+0i,13.213056-0.09451i
516.7+0i,3.519+0i,0.004+0i,12.383345-0.028152i
539.1+0i,3.44+0i,0.003+0i,11.833591-0.02064i
563.6+0i,3.378+0i,0+0i,11.410884+0i
590.5+0i,3.322+0i,0+0i,11.035684+0i
620+0i,3.277+0i,0+0i,10.738729+0i
652.6+0i,3.236+0i,0+0i,10.471696+0i
688.9+0i,3.202+0i,0+0i,10.252804+0i
729.4+0i,3.173+0i,0+0i,10.067929+0i
775+0i,3.147+0i,0+0i,9.903609+0i
826.7+0i,3.124+0i,0+0i,9.759376+0i
885.7+0i,3.103+0i,0+0i,9.628609+0i
953.8+0i,3.083+0i,0+0i,9.504889+0i
1033.3+0i,3.065+0i,0+0i,9.394225+0i
1127.3+0i,3.049+0i,0+0i,9.296401+0i
1240+0i,3.035+0i,0+0i,9.211225+0i
1377.8+0i,3.022+0i,0+0i,9.132484+0i
1550+0i,3.012+0i,0+0i,9.072144+0i
1771.4+0i,3.003+0i,0+0i,9.018009+0i
2066.7+0i,2.995+0i,0+0i,8.970025+0i
2480+0i,2.988+0i,0+0i,8.928144+0i
