249+0i,3.14186609+0i,3.62969813+0i,-3.30338598743361-22.8080509431668i
250+0i,3.224296+0i,3.60241507+0i,-2.58130964094711-23.2305050010814i
251+0i,3.3049704+0i,3.5690605+0i,-1.81536350778409-23.5912786166184i
252+0i,3.38311192+0i,3.52984356+0i,-1.01434929482739-23.8837116471425i
253+0i,3.45798602+0i,3.48509562+0i,-0.188224166027744-24.1028238646465i
254+0i,3.52892199+0i,3.43525933+0i,0.652283747153511-24.2455243819793i
255+0i,3.59533108+0i,3.38087402+0i,1.49609643570301-24.3107228833411i
256+0i,3.65672106+0i,3.32255804+0i,2.33221698147888-24.2993359158806i
257+0i,3.71270672+0i,3.26098924+0i,3.15014036533738-24.2141933303914i
258+0i,3.76301632+0i,3.19688433+0i,3.94022240518679-24.0598558138845i
259+0i,3.80749377+0i,3.1309778+0i,4.69398682449597-23.8423569350166i
260+0i,3.8460969+0i,3.06400158+0i,5.40435568194711-23.5688939568662i
261+0i,3.87889196+0i,2.99666597+0i,6.0657959015966-23.2474870756772i
262+0i,3.90604495+0i,2.92964252+0i,6.67438185642855-22.8866307411025i
263+0i,3.92781031+0i,2.8635494+0i,7.22777866510194-22.4949577130286i
264+0i,3.94451756+0i,2.79893967+0i,7.72515550484864-22.0809333553912i
265+0i,3.95655654+0i,2.73629254+0i,8.16704278975712-21.6525922889804i
266+0i,3.96436203+0i,2.67600783+0i,8.55514839868441-21.2173276664694i
267+0i,3.9683982+0i,2.61840351+0i,8.89214733258292-20.7817355519154i
268+0i,3.96914364+0i,2.56371628+0i,9.18146007061541-20.3515163350529i
269+0i,3.96707755+0i,2.51210456+0i,9.42703496734121-19.9314272064573i
270+0i,3.96266732+0i,2.46365392+0i,9.63314165146462-19.5252817531478i
271+0i,3.95635798+0i,2.4183842+0i,9.80418632710004-19.1359872567518i
272+0i,3.94856373+0i,2.37625821+0i,9.94455244927911-18.7656139622414i
273+0i,3.93966163+0i,2.33719089+0i,10.0584725025953-18.4154825426371i
274+0i,3.92998737+0i,2.30105897+0i,10.1499283449421-18.0862653794504i
275+0i,3.91983326+0i,2.26771077+0i,10.2225806498282-17.7780962006124i
276+0i,3.90944777+0i,2.23697511+0i,10.2797242235985-17.49067471067i
277+0i,3.89903698+0i,2.2086697+0i,10.3242675277094-17.223369673811i
278+0i,3.88876702+0i,2.18260851+0i,10.3587290279153-16.9753119825187i
279+0i,3.8787677+0i,2.15860782+0i,10.3852511499981-16.7454765783668i
280+0i,3.86913666+0i,2.13649135+0i,10.4056232051311-16.5327540121158i
281+0i,3.85994393+0i,2.11609391+0i,10.4213137068048-16.3360076864289i
282+0i,3.85123664+0i,2.09726414+0i,10.4335067843486-16.1541209994522i
283+0i,3.84304364+0i,2.07986617+0i,10.443141133834-15.9860329133393i
284+0i,3.83537981+0i,2.06378037+0i,10.4509488713583-15.8307631267447i
285+0i,3.82825025+0i,2.04890343+0i,10.4574947111593-15.6874301362467i
