248+0i,3.00958182+0i,3.31461669+0i,-1.92910107035204-19.9512202609852i
249+0i,3.0616131+0i,3.29862281+0i,-1.50743766856068-20.1982136141096i
250+0i,3.11301483+0i,3.28027624+0i,-1.06935087890861-20.4230971632333i
251+0i,3.16359647+0i,3.25960258+0i,-0.616666354546197-20.6241344313818i
252+0i,3.21316929+0i,3.23664875+0i,-0.151438244677458-20.7998007320338i
253+0i,3.26154926+0i,3.21148263+0i,0.324082892614829-20.9488175907587i
254+0i,3.30856003+0i,3.18419203+0i,0.80749058819808-21.0701809566051i
255+0i,3.3540355+0i,3.15488349+0i,1.29626429978567-21.1631824476478i
256+0i,3.39782222+0i,3.12368055+0i,1.78781566027743-21.2274223619436i
257+0i,3.43978142+0i,3.09072161+0i,2.27953614685622-21.262813536941i
258+0i,3.47979066+0i,3.05615763+0i,2.76884357801602-21.2695775527235i
259+0i,3.51774499+0i,3.02014966+0i,3.25322584587199-21.2482326710304i
260+0i,3.55355777+0i,2.98286626+0i,3.73028169968098-21.1995751501877i
261+0i,3.58716098+0i,2.94448079+0i,4.19775677375554-21.1246531924951i
262+0i,3.61850515+0i,2.90516895+0i,4.65357289253242-21.0247376143902i
263+0i,3.64755883+0i,2.86510622+0i,5.09585176642828-20.9012869832978i
264+0i,3.67430776+0i,2.82446573+0i,5.52293085525178-20.7559126991861i
265+0i,3.69875369+0i,2.78341618+0i,5.93337322820282-20.5903417331614i
266+0i,3.72091297+0i,2.74212015+0i,6.3259704132782-20.4063808628667i
267+0i,3.74081488+0i,2.70073274+0i,6.69973863352151-20.2058824413903i
268+0i,3.75849987+0i,2.65940053+0i,7.05391009382574-19.9907130925659i
269+0i,3.77401772+0i,2.61826093+0i,7.38791945330953-19.7627262908074i
270+0i,3.78742574+0i,2.57744193+0i,7.70138683349242-19.5237398180746i
271+0i,3.79878699+0i,2.53706218+0i,7.99409809020691-19.2755176044101i
272+0i,3.80816876+0i,2.4972314+0i,8.26598463949398-19.0197572079421i
273+0i,3.81564113+0i,2.45805114+0i,8.51710182609238-18.7580820588548i
274+0i,3.82127603+0i,2.4196157+0i,8.74761036176607-18.4920389524433i
275+0i,3.82514645+0i,2.38201332+0i,8.95775790729018-18.2230995897014i
276+0i,3.82732617+0i,2.34532727+0i,9.14786560816122-17.9526648753713i
277+0i,3.82788981+0i,2.30963708+0i,9.31831695619091-17.6820724866603i
278+0i,3.8269133+0i,2.27501952+0i,9.46955158933586-17.4126049176952i
279+0i,3.82447462+0i,2.2415494+0i,9.60206240638379-17.1454975795525i
280+0i,3.82065494+0i,2.2093+0i,9.7163976805464-16.881945917884i
281+0i,3.81553976+0i,2.17834306+0i,9.8131651730907-16.6231091127001i
282+0i,3.80922021+0i,2.14874837+0i,9.89303905069479-16.3701114344171i
283+0i,3.80179423+0i,2.12058286+0i,9.95676770113552-16.1240393627698i
284+0i,3.79336745+0i,2.09390919+0i,10.005180914753-15.8859339292037i
