250+0i,1.637+0i,3.5889+0i,-10.20043421-11.7500586i
260+0i,1.737+0i,3.9932+0i,-12.92847724-13.8723768i
270+0i,2.03+0i,4.5958+0i,-17.00047764-18.658948i
280+0i,2.84+0i,5.1961+0i,-18.93385521-29.513848i
290+0i,4.185+0i,5.3124+0i,-10.70736876-44.464788i
300+0i,5.049+0i,4.29+0i,7.088301-43.32042i
310+0i,5.091+0i,3.6239+0i,12.78562979-36.8985498i
320+0i,5.085+0i,3.2824+0i,15.08307524-33.382008i
330+0i,5.135+0i,3.0935+0i,16.79848275-31.770245i
340+0i,5.245+0i,2.9573+0i,18.76440171-31.022077i
350+0i,5.423+0i,2.9078+0i,20.95362816-31.5379988i
360+0i,5.914+0i,2.9135+0i,26.48691375-34.460878i
370+0i,6.82+0i,2.1403+0i,41.93151591-29.193692i
380+0i,6.587+0i,0.98399+0i,42.4203326799-12.96308426i
390+0i,6.025+0i,0.50308+0i,36.0475355136-6.062114i
400+0i,5.623+0i,0.32627+0i,31.5116768871-3.66923242i
410+0i,5.341+0i,0.24127+0i,28.4680697871-2.57724614i
420+0i,5.11+0i,0.17694+0i,26.0807922364-1.8083268i
430+0i,4.932+0i,0.13766+0i,24.3056737244-1.35787824i
440+0i,4.79+0i,0.11201+0i,22.9315537599-1.0730558i
450+0i,4.673+0i,0.095362+0i,21.827835088956-0.891253252i
460+0i,4.572+0i,0.079105+0i,20.896926398975-0.72333612i
470+0i,4.485+0i,0.07024+0i,20.1102913424-0.6300528i
480+0i,4.412+0i,0.059817+0i,19.462165926511-0.527825208i
490+0i,4.349+0i,0.05381+0i,18.9109054839-0.46803938i
500+0i,4.289+0i,0.048542+0i,18.393164674236-0.416393276i
510+0i,4.235+0i,0.043831+0i,17.933303843439-0.37124857i
520+0i,4.187+0i,0.039531+0i,17.529406300039-0.331032594i
530+0i,4.145+0i,0.034804+0i,17.179813681584-0.28852516i
540+0i,4.103+0i,0.029896+0i,16.833715229184-0.245326576i
550+0i,4.073+0i,0.028038+0i,16.588542870556-0.228397548i
560+0i,4.038+0i,0.026551+0i,16.304739044399-0.214425876i
570+0i,4.006+0i,0.023746+0i,16.047472127484-0.190252952i
580+0i,3.977+0i,0.021896+0i,15.816049565184-0.174160784i
590+0i,3.954+0i,0.020076+0i,15.633712954224-0.158761008i
600+0i,3.931+0i,0.018521+0i,15.452417972559-0.145612102i
610+0i,3.908+0i,0.017257+0i,15.272166195951-0.134880712i
620+0i,3.888+0i,0.016809+0i,15.116261457519-0.130706784i
630+0i,3.869+0i,0.016268+0i,14.968896352176-0.125881784i
640+0i,3.851+0i,0.014693+0i,14.829985115751-0.113165486i
650+0i,3.835+0i,0.014447+0i,14.707016284191-0.11080849i
660+0i,3.817+0i,0.013608+0i,14.569303822336-0.103883472i
670+0i,3.805+0i,0.012807+0i,14.477860980751-0.09746127i
680+0i,3.791+0i,0.012045+0i,14.371535917975-0.09132519i
690+0i,3.776+0i,0.011317+0i,14.258047925511-0.085465984i
700+0i,3.765+0i,0.010623+0i,14.175112151871-0.07999119i
710+0i,3.753+0i,0.009961+0i,14.084909778479-0.074767266i
720+0i,3.741+0i,0.0093335+0i,13.9949938857778-0.069833247i
730+0i,3.73+0i,0.0087312+0i,13.9128237661466-0.065134752i
740+0i,3.719+0i,0.0081618+0i,13.8308943850208-0.0607074684i
750+0i,3.712+0i,0.0076156+0i,13.7788860026366-0.0565382144i
760+0i,3.701+0i,0.0070942+0i,13.6973506723264-0.0525112684i
770+0i,3.693+0i,0.0066054+0i,13.6382053686908-0.0487874844i
780+0i,3.684+0i,0.0061338+0i,13.5718183764976-0.0451938384i
790+0i,3.677+0i,0.0056888+0i,13.5202966375546-0.0418354352i
800+0i,3.669+0i,0.0052655+0i,13.4615332745097-0.038638239i
810+0i,3.662+0i,0.004864+0i,13.410220341504-0.035623936i
820+0i,3.655+0i,0.0044836+0i,13.359004897331-0.032775116i
830+0i,3.646+0i,0.0041235+0i,13.2932989967477-0.030068562i
840+0i,3.641+0i,0.0037828+0i,13.2568666904242-0.0275463496i
850+0i,3.636+0i,0.0034605+0i,13.2204840249398-0.025164756i
860+0i,3.628+0i,0.0031563+0i,13.1623740377703-0.0229021128i
